code,species,id_status,french_name,stage,confidence,n_individus,date_capture,site
T-26-0188,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0199,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0208,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0218,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0230-1,Barbatula barbatula,preliminary,,,,,,
T-26-0230-2,Barbatula barbatula,preliminary,,,,,,
T-26-0230-3,Barbatula barbatula,preliminary,,,,,,
T-26-0230-4,Barbatula barbatula,curated,Loche franche,juvenile,forte,4.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0231,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0232,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0233,Barbatula barbatula,preliminary,,,,,2026-04-21,"Saudrune, sud Toulouse"
T-26-0272,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0274,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0275,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0277,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0278-1,Barbatula barbatula,preliminary,,,,,,
T-26-0278-2,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0279,Barbatula barbatula,curated,Loche franche,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0013,Barbus barbus,preliminary,,,,,2026-04-21,"Saudrune, sud Toulouse"
T-26-0090,Phoxinus phoxinus,curated,Vairon,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0112,Phoxinus phoxinus/bigerri,curated,Vairon ou Vairon de Bigorre,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0112-2,Phoxinus phoxinus/bigerri,curated,Vairon ou Vairon de Bigorre,juvenal,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0128,Phoxinus phoxinus,curated,Vairon,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0130,Phoxinus phoxinus,curated,Vairon,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0147,Squalius cephalus,curated,Chevaine,adulte,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0150,Squalius cephalus,curated,Chevaine,adulte,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0179,Gobio occitaniae,curated,Goujon occitan,juvenile,faible,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0210,Barbus barbus,preliminary,,,,,2026-04-21,"Saudrune, sud Toulouse"
T-26-0226,Gobio occitaniae,curated,Goujon occitan,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0229,Squalius cephalus,curated,Chevaine,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0241,Gobio occitaniae,curated,Goujon occitan,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0244,Phoxinus phoxinus,curated,Vairon commun,juvenile,faible,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0251,Squalius cephalus,curated,Chevaine,adulte,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0263,Gobio occitaniae,curated,Goujon occitan,adulte,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0264-1,Barbus barbus,preliminary,,,,,,
T-26-0264-2,Barbus barbus,preliminary,,,,,,
T-26-0264-3,Barbus barbus,preliminary,,,,,,
T-26-0264-4,Gobio occitaniae,curated,Goujon occitan,adulte,forte,4.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0276,Squalius cephalus,curated,Chevaine,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0001,Gobio occitaniae,curated,Goujon occitan,juvenile,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0002,Gobio occitaniae,curated,Goujon occitan,adulte,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0003,Gobio occitaniae,curated,Goujon occitan,adulte,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0005,Gobio occitaniae,curated,Goujon occitan,adulte,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0006,Gobio occitaniae,curated,Goujon occitan,adulte,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0010,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0012,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0014,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0015,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0017,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0020,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0023,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0024,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0025,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0026,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0027,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0028,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0031,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0033,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0034,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0035,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0038,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0040,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0041,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0042,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0043,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0044,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0046,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0048,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0050,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0051,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0055,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0056,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0056-2,Gobio occitaniae,curated,Goujon occitan,oui,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0057,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0058,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0059,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0060,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0063,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0064,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0065,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0067,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0071,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0072,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0073,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0074,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0075,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0077,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0078,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0079,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0081,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0082,Phoxinus phoxinus,curated,Vairon,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0084,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0085,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0086,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0087,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0088,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0091,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0092,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0093,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0094,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0095,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0096,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0097,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0098,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0100,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0101,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0102,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0103,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0104,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0105,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0107,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0108,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0109,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0111,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0113,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0114,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0115,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0116,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0117,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0118,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0120,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0121,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0122,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0123,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0125,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0126,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0127,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0131,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0132,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0134,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0136,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0138,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0139,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0140,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0141,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0142,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0146,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0151,Gobio occitaniae,curated,Goujon occitan,non,elevee,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0153,Gobio occitaniae,curated,Goujon occitan,juvenile,forte,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0154,Gobio occitaniae,curated,Goujon occitan,juvenile,moyenne,1.0,2026-04-21,"Saudrune, sud Toulouse"
T-26-0155,Gobio occitaniae,curated,Goujon occitan,juvenile,faible,1.0,2026-04-21,"Saudrune, sud Toulouse"
